Date,Price (USD)
2023-11-11 09:10:33+00:00,86
2023-11-11 09:16:36+00:00,108
2023-11-11 09:22:39+00:00,108
2023-11-11 09:28:42+00:00,108
2023-11-11 09:34:45+00:00,108
2023-11-11 09:40:48+00:00,108
2023-11-11 09:46:51+00:00,108
2023-11-11 09:52:54+00:00,108
2023-11-11 09:58:57+00:00,86
2023-11-11 10:05:00+00:00,86
2023-11-11 10:11:03+00:00,86
2023-11-11 10:17:06+00:00,86
2023-11-11 10:23:09+00:00,86
2023-11-11 10:29:12+00:00,86
2023-11-11 10:35:15+00:00,86
2023-11-11 10:41:18+00:00,86
2023-11-11 10:47:21+00:00,86
2023-11-11 10:53:24+00:00,86
2023-11-11 10:59:27+00:00,86
2023-11-11 11:05:30+00:00,86
2023-11-11 11:11:33+00:00,84
2023-11-11 11:17:36+00:00,86
2023-11-11 11:23:39+00:00,86
2023-11-11 11:29:42+00:00,86
2023-11-11 11:35:45+00:00,86
2023-11-11 11:41:48+00:00,86
2023-11-11 11:47:51+00:00,96
2023-11-11 11:53:54+00:00,96
2023-11-11 11:59:57+00:00,86
2023-11-11 12:06:00+00:00,86
2023-11-11 12:12:03+00:00,97
2023-11-11 12:18:06+00:00,86
2023-11-11 12:24:09+00:00,87
2023-11-11 12:30:12+00:00,87
2023-11-11 12:36:15+00:00,87
2023-11-11 12:42:18+00:00,87
2023-11-11 12:48:21+00:00,118
2023-11-11 12:54:24+00:00,82
2023-11-11 13:00:27+00:00,87
2023-11-11 13:06:30+00:00,134
2023-11-11 13:12:33+00:00,119
2023-11-11 13:18:36+00:00,95
2023-11-11 13:24:39+00:00,95
2023-11-11 13:30:42+00:00,86
2023-11-11 13:36:45+00:00,86
2023-11-11 13:42:48+00:00,86
2023-11-11 13:48:51+00:00,90
2023-11-11 13:54:54+00:00,90
2023-11-11 14:00:57+00:00,91
2023-11-11 14:07:00+00:00,88
2023-11-11 14:13:03+00:00,92
2023-11-11 14:19:06+00:00,95
2023-11-11 14:25:09+00:00,95
2023-11-11 14:31:12+00:00,95
2023-11-11 14:37:15+00:00,90
2023-11-11 14:43:18+00:00,99
2023-11-11 14:49:21+00:00,86
2023-11-11 14:55:24+00:00,100
2023-11-11 15:01:27+00:00,95
2023-11-11 15:07:30+00:00,82
2023-11-11 15:13:33+00:00,95
2023-11-11 15:19:36+00:00,113
2023-11-11 15:25:39+00:00,113
2023-11-11 15:31:42+00:00,101
2023-11-11 15:37:45+00:00,105
2023-11-11 15:43:48+00:00,98
2023-11-11 15:49:51+00:00,86
2023-11-11 15:55:54+00:00,86
2023-11-11 16:01:57+00:00,95
2023-11-11 16:08:00+00:00,102
2023-11-11 16:14:03+00:00,87
2023-11-11 16:20:06+00:00,89
2023-11-11 16:26:09+00:00,98
2023-11-11 16:32:12+00:00,97
2023-11-11 16:38:15+00:00,94
2023-11-11 16:44:18+00:00,91
2023-11-11 16:50:21+00:00,91
2023-11-11 16:56:24+00:00,99
2023-11-11 17:02:27+00:00,110
2023-11-11 17:08:30+00:00,87
2023-11-11 17:14:33+00:00,96
2023-11-11 17:20:36+00:00,110
2023-11-11 17:26:39+00:00,97
2023-11-11 17:32:42+00:00,81
2023-11-11 17:38:45+00:00,91
2023-11-11 17:44:48+00:00,98
2023-11-11 17:50:51+00:00,99
2023-11-11 17:56:54+00:00,97
2023-11-11 18:02:57+00:00,104
2023-11-11 18:09:00+00:00,101
2023-11-11 18:15:03+00:00,85
2023-11-11 18:21:06+00:00,85
2023-11-11 18:27:09+00:00,101
2023-11-11 18:33:12+00:00,101
2023-11-11 18:39:15+00:00,86
2023-11-11 18:45:18+00:00,88
2023-11-11 18:51:21+00:00,101
2023-11-11 18:57:24+00:00,105
2023-11-11 19:03:27+00:00,110
2023-11-11 19:09:30+00:00,93
2023-11-11 19:15:33+00:00,88
2023-11-11 19:21:36+00:00,82
2023-11-11 19:27:39+00:00,82
2023-11-11 19:33:42+00:00,98
2023-11-11 19:39:45+00:00,98
2023-11-11 19:45:48+00:00,98
2023-11-11 19:51:51+00:00,97
2023-11-11 19:57:54+00:00,101
2023-11-11 20:03:57+00:00,86
2023-11-11 20:10:00+00:00,119
2023-11-11 20:16:03+00:00,84
2023-11-11 20:22:06+00:00,87
2023-11-11 20:28:09+00:00,87
2023-11-11 20:34:12+00:00,81
2023-11-11 20:40:15+00:00,110
2023-11-11 20:46:18+00:00,85
2023-11-11 20:52:21+00:00,114
2023-11-11 20:58:24+00:00,103
2023-11-11 21:04:27+00:00,86
2023-11-11 21:10:30+00:00,89
2023-11-11 21:16:33+00:00,108
2023-11-11 21:22:36+00:00,106
2023-11-11 21:28:39+00:00,89
2023-11-11 21:34:42+00:00,89
2023-11-11 21:40:45+00:00,89
2023-11-11 21:46:48+00:00,110
2023-11-11 21:52:51+00:00,118
2023-11-11 21:58:54+00:00,119
2023-11-11 22:04:57+00:00,86
2023-11-11 22:11:00+00:00,93
2023-11-11 22:17:03+00:00,86
2023-11-11 22:23:06+00:00,86
2023-11-11 22:29:09+00:00,86
2023-11-11 22:35:12+00:00,119
2023-11-11 22:41:15+00:00,87
2023-11-11 22:47:18+00:00,110
2023-11-11 22:53:21+00:00,87
2023-11-11 22:59:24+00:00,83
2023-11-11 23:05:27+00:00,86
2023-11-11 23:11:30+00:00,85
2023-11-11 23:17:33+00:00,92
2023-11-11 23:23:36+00:00,86
2023-11-11 23:29:39+00:00,86
2023-11-11 23:35:42+00:00,86
2023-11-11 23:41:45+00:00,129
2023-11-11 23:47:48+00:00,129
2023-11-11 23:53:51+00:00,110
2023-11-11 23:59:54+00:00,115
2023-11-12 00:05:57+00:00,115
2023-11-12 00:12:00+00:00,82
2023-11-12 00:18:03+00:00,92
2023-11-12 00:24:06+00:00,103
2023-11-12 00:30:09+00:00,110
2023-11-12 00:36:12+00:00,108
2023-11-12 00:42:15+00:00,108
2023-11-12 00:48:18+00:00,108
2023-11-12 00:54:21+00:00,99
2023-11-12 01:00:24+00:00,100
2023-11-12 01:06:27+00:00,98
2023-11-12 01:12:30+00:00,85
2023-11-12 01:18:33+00:00,89
2023-11-12 01:24:36+00:00,89
2023-11-12 01:30:39+00:00,86
2023-11-12 01:36:42+00:00,97
2023-11-12 01:42:45+00:00,91
2023-11-12 01:48:48+00:00,93
2023-11-12 01:54:51+00:00,105
2023-11-12 02:00:54+00:00,87
2023-11-12 02:06:57+00:00,110
2023-11-12 02:13:00+00:00,110
2023-11-12 02:19:03+00:00,87
2023-11-12 02:25:06+00:00,99
2023-11-12 02:31:09+00:00,87
2023-11-12 02:37:12+00:00,98
2023-11-12 02:43:15+00:00,117
2023-11-12 02:49:18+00:00,90
2023-11-12 02:55:21+00:00,115
2023-11-12 03:01:24+00:00,115
2023-11-12 03:07:27+00:00,94
2023-11-12 03:13:30+00:00,98
2023-11-12 03:19:33+00:00,98
2023-11-12 03:25:36+00:00,98
2023-11-12 03:31:39+00:00,87
2023-11-12 03:37:42+00:00,111
2023-11-12 03:43:45+00:00,111
2023-11-12 03:49:48+00:00,87
2023-11-12 03:55:51+00:00,90
2023-11-12 04:01:54+00:00,90
2023-11-12 04:07:57+00:00,90
2023-11-12 04:14:00+00:00,95
2023-11-12 04:20:03+00:00,95
2023-11-12 04:26:06+00:00,95
2023-11-12 04:32:09+00:00,104
2023-11-12 04:38:12+00:00,90
2023-11-12 04:44:15+00:00,87
2023-11-12 04:50:18+00:00,87
2023-11-12 04:56:21+00:00,88
2023-11-12 05:02:24+00:00,65
2023-11-12 05:08:27+00:00,96
2023-11-12 05:14:30+00:00,98
2023-11-12 05:20:33+00:00,98
2023-11-12 05:26:36+00:00,87
2023-11-12 05:32:39+00:00,87
2023-11-12 05:38:42+00:00,90
2023-11-12 05:44:45+00:00,90
2023-11-12 05:50:48+00:00,90
2023-11-12 05:56:51+00:00,110
2023-11-12 06:02:54+00:00,110
2023-11-12 06:08:57+00:00,110
2023-11-12 06:15:00+00:00,95
2023-11-12 06:21:03+00:00,95
2023-11-12 06:27:06+00:00,91
2023-11-12 06:33:09+00:00,91
2023-11-12 06:39:12+00:00,91
2023-11-12 06:45:15+00:00,91
2023-11-12 06:51:18+00:00,87
2023-11-12 06:57:21+00:00,83
2023-11-12 07:03:24+00:00,83
2023-11-12 07:09:27+00:00,82
2023-11-12 07:15:30+00:00,82
2023-11-12 07:21:33+00:00,82
2023-11-12 07:27:36+00:00,82
2023-11-12 07:33:39+00:00,82
2023-11-12 07:39:42+00:00,82
2023-11-12 07:45:45+00:00,82
2023-11-12 07:51:48+00:00,76
2023-11-12 07:57:51+00:00,76
2023-11-12 08:03:54+00:00,76
2023-11-12 08:09:57+00:00,76
2023-11-12 08:16:00+00:00,84
2023-11-12 08:22:03+00:00,84
2023-11-12 08:28:06+00:00,84
2023-11-12 08:34:09+00:00,87
2023-11-12 08:40:12+00:00,87
2023-11-12 08:46:15+00:00,87
2023-11-12 08:52:18+00:00,87
2023-11-12 08:58:21+00:00,87
2023-11-12 09:04:24+00:00,87
2023-11-12 09:10:27+00:00,87
2023-11-12 09:16:30+00:00,87
2023-11-12 09:22:33+00:00,87
2023-11-12 09:28:36+00:00,87
2023-11-12 09:34:39+00:00,87
2023-11-12 09:40:42+00:00,87
2023-11-12 09:46:45+00:00,87
2023-11-12 09:52:48+00:00,87
2023-11-12 09:58:51+00:00,87
2023-11-12 10:04:54+00:00,87
2023-11-12 10:10:57+00:00,87
2023-11-12 10:17:00+00:00,87
2023-11-12 10:23:03+00:00,87
2023-11-12 10:29:06+00:00,87
2023-11-12 10:35:09+00:00,87
2023-11-12 10:41:12+00:00,87
2023-11-12 10:47:15+00:00,87
2023-11-12 10:53:18+00:00,87
2023-11-12 10:59:21+00:00,87
2023-11-12 11:05:24+00:00,87
2023-11-12 11:11:27+00:00,87
2023-11-12 11:17:30+00:00,95
2023-11-12 11:23:33+00:00,95
2023-11-12 11:29:36+00:00,95
2023-11-12 11:35:39+00:00,95
2023-11-12 11:41:42+00:00,95
2023-11-12 11:47:45+00:00,87
2023-11-12 11:53:48+00:00,87
2023-11-12 11:59:51+00:00,87
2023-11-12 12:05:54+00:00,87
