,Date,Price (USD)
307,2023-12-04 04:06:28+00:00,110
308,2023-12-04 06:04:32+00:00,98
309,2023-12-04 08:02:36+00:00,106
310,2023-12-04 10:00:40+00:00,113
311,2023-12-04 11:58:44+00:00,111
312,2023-12-04 13:56:48+00:00,112
313,2023-12-04 15:54:52+00:00,109
314,2023-12-04 17:52:56+00:00,109
315,2023-12-04 19:51:00+00:00,108
316,2023-12-04 21:49:04+00:00,112
317,2023-12-04 23:47:08+00:00,111
318,2023-12-05 01:45:12+00:00,110
319,2023-12-05 03:43:16+00:00,111
320,2023-12-05 05:41:20+00:00,101
321,2023-12-05 07:39:24+00:00,129
322,2023-12-05 09:37:28+00:00,109
323,2023-12-05 11:35:32+00:00,113
324,2023-12-05 13:33:36+00:00,108
325,2023-12-05 15:31:40+00:00,109
326,2023-12-05 17:29:44+00:00,111
327,2023-12-05 19:27:48+00:00,109
328,2023-12-05 21:25:52+00:00,108
329,2023-12-05 23:23:56+00:00,111
330,2023-12-06 01:22:00+00:00,108
331,2023-12-06 03:20:04+00:00,110
332,2023-12-06 05:18:08+00:00,105
333,2023-12-06 07:16:12+00:00,102
334,2023-12-06 09:14:16+00:00,107
335,2023-12-06 11:12:20+00:00,108
336,2023-12-06 13:10:24+00:00,112
337,2023-12-06 15:08:28+00:00,112
338,2023-12-06 17:06:32+00:00,110
339,2023-12-06 19:04:36+00:00,109
340,2023-12-06 21:02:40+00:00,109
341,2023-12-06 23:00:44+00:00,107
342,2023-12-07 00:58:48+00:00,108
343,2023-12-07 02:56:52+00:00,107
344,2023-12-07 04:54:56+00:00,107
345,2023-12-07 06:53:00+00:00,101
346,2023-12-07 08:51:04+00:00,108
347,2023-12-07 10:49:08+00:00,108
348,2023-12-07 12:47:12+00:00,110
349,2023-12-07 14:45:16+00:00,106
350,2023-12-07 16:43:20+00:00,108
351,2023-12-07 18:41:24+00:00,108
352,2023-12-07 20:39:28+00:00,108
353,2023-12-07 22:37:32+00:00,108
354,2023-12-08 00:35:36+00:00,111
355,2023-12-08 02:33:40+00:00,110
